id_case,id_biter,x_coord,y_coord,owned,date_symptoms,days_uncertain
2569,0,670820.466688021,9797239.86516658,FALSE,2006-02-01,14
3542,0,673626.714612554,9815354.62571462,FALSE,2008-02-17,0
3777,3778,688017.352000898,9810376.16675617,TRUE,2008-08-02,0
4716,0,648880.459272398,9822429.49880176,TRUE,2010-08-24,0
4719,0,649292.28367606,9821614.27310277,FALSE,2010-09-16,0
4867,4866,657083.596792437,9823244.77112937,TRUE,2010-11-25,7
5837,0,653650.171224017,9822256.05841619,TRUE,2010-10-02,0
6159,0,652690.664969647,9823017.33408429,TRUE,2011-02-12,0
6499,0,655618.562410412,9804653.9772862,FALSE,2011-09-05,7
6537,6536,695955.231454624,9808002.84019764,TRUE,2011-09-25,7
6540,0,700461.117866853,9803288.64596202,TRUE,2011-07-02,0
6541,6540,700185.231273001,9803515.83865774,TRUE,2011-07-15,7
6554,6553,700072.072454318,9803904.69128268,TRUE,2011-10-01,0
6691,0,661202.113222731,9794269.57840776,TRUE,2011-10-11,0
6705,0,670748.375329935,9787682.44664812,TRUE,2011-11-14,0
6718,0,685593.525013813,9797439.42672739,TRUE,2011-11-27,0
6758,0,679807.9104415,9808973.13624146,FALSE,2011-11-18,0
6761,0,698313.456296694,9791657.61386744,FALSE,2011-08-15,7
6772,0,657163.096238916,9809607.09265152,FALSE,2011-12-15,7
6789,0,698426.278434841,9792504.53399926,FALSE,2011-09-15,28
6802,0,656736.516614018,9803068.33189503,FALSE,2011-12-28,0
6805,0,657391.486508504,9803113.79334235,FALSE,2011-12-28,0
6810,6809,661626.829895067,9804840.79520843,TRUE,2012-01-20,0
6811,6809,663002.201510004,9804489.72530403,TRUE,2012-01-30,0
6812,6809,661542.191333014,9804821.77513299,TRUE,2012-02-02,0
6814,6809,661515.390206544,9803166.78647218,TRUE,2012-01-25,0
6824,5550,676478.237922146,9806884.12686126,TRUE,2011-09-15,0
7028,6773,658841.531226074,9810162.32983791,TRUE,2012-02-05,7
7029,6773,657671.528180724,9810150.06206255,TRUE,2012-02-05,7
7107,7327,699921.933879638,9802182.96964489,TRUE,2012-03-21,0
7134,0,655820.165504859,9802936.03669671,TRUE,2012-02-03,0
7146,0,655394.275568674,9796528.98843463,TRUE,2012-03-02,0
7185,0,654808.162886148,9796789.04628382,TRUE,2011-07-19,0
7187,0,650969.776034834,9808454.78055123,TRUE,2012-01-25,7
7194,7195,650902.489308718,9807048.31124381,TRUE,2012-04-11,14
7195,0,651998.025178076,9807553.63868546,TRUE,2012-04-05,7
7196,0,655884.487837189,9807859.69253424,FALSE,2012-04-25,0
7201,0,657719.426305432,9803440.12836097,FALSE,2012-01-10,14
7238,7225,693644.184819943,9802043.67622002,TRUE,2012-05-17,0
7248,7242,655068.644311559,9811467.57101297,TRUE,2012-05-05,7
7252,0,674959.542544669,9808552.72714701,TRUE,2012-05-25,0
7296,7300,657847.566504203,9809935.79809256,TRUE,2012-02-05,7
7297,7300,658796.035213567,9808630.1051558,TRUE,2012-02-05,7
7298,7300,657089.878160212,9809634.76219475,TRUE,2012-02-05,7
7300,0,657323.286631781,9808759.90028475,TRUE,2012-01-23,0
7323,0,694073.962854377,9804043.68658311,FALSE,2012-04-12,0
7335,0,674988.639433867,9808385.56653823,TRUE,2012-05-25,0
7345,0,682194.313613166,9806475.3837414,TRUE,2011-07-25,7
7350,0,683431.802582719,9806178.05121666,TRUE,2012-06-06,0
7354,7355,680520.749577018,9798834.99155726,TRUE,2012-06-10,0
7355,0,682203.572883434,9797728.8567342,TRUE,2012-04-12,0
7361,7362,676701.045632444,9821868.72400608,TRUE,2012-03-25,7
7362,0,676525.953633327,9821021.00390926,TRUE,2012-03-05,7
7363,0,677505.935453394,9822250.93629701,TRUE,2011-09-05,0
7382,0,668297.193095997,9831302.02228878,TRUE,2012-02-08,0
7415,0,679517.672793434,9819111.99185581,TRUE,2011-09-03,0
